GROUP,Latitude,Longitude,class,class2,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2
Rwala,31,39,,,0.72,-0.142667504,179.65198,0.053407096,0.387388723,32274.83393,28.5231791
TUAREG-AHAGGAR,25,5,,,0.032,-1.494850022,45.46792322,0.057048121,-0.0417874,2067.332042,32.54488126
MUTAIR,25,42,,,0.7785,-0.108741383,222.3971025,0.06063871,0.463254766,49460.47118,36.77053119
AL-MURRAH,22,45,,,0.023,-1.638272164,140.049581,0.062104453,0.444723302,19613.88514,38.56963051
CHUKCHI,69,172,,,0.013,-1.886056648,156.8021324,0.063024383,-0.674909427,24586.90873,39.72072791
TEDA,20,17.5,,,0.0889,-1.051098239,55.2607047,0.084488925,-0.105188249,3053.745484,71.3837842
Saami,69,24,,,0.1649,-0.782779344,465.0438169,0.092811351,-0.751071325,216265.7517,86.13946834
Koryak,62.43,166.08,,,0.0063,-2.200659451,300.438921,0.096224971,-0.679140735,90263.54526,92.59245072
Khalkas,46.75,104,,,0.3618,-0.441531437,453.7943041,0.137686377,-0.319963892,205929.2704,189.5753828
Yakut,64,129.5,,,0.0645,-1.190440285,175.4582988,0.141263599,-0.684462714,30785.6146,199.5540451
Kazakh,48,67,,,1.457,0.163459552,350.3056634,0.143021652,-0.298224479,122714.0578,204.551929
Nurzay,33.1,62.42,,,0.1433,-0.84375381,313.0995272,0.144653495,0.195628275,98031.31395,209.2463356
CYRENAICA,32.5,22,,,1,0,431.7203223,0.151991358,0.107025309,186382.4367,231.0137284
KABABISH,15,26.5,,,1.0856,0.035669835,352.0644764,0.161309187,0.443792698,123949.3956,260.2065365
Cocopa,32.5,-114.75,1,0,0.48828125,-0.311329952,151.4209566,0.165833568,-0.560021944,22928.30611,275.0077221
Hidatsa,47.5,-101.3,1,0,0.094117647,-1.026328939,742.1336178,0.171233029,-0.944195215,550762.3067,293.2075036
Huron,44,-78,2,1,9.933774834,0.997114312,1187.756031,0.179206251,-0.818669312,1410764.39,321.1488044
Mapuche,-41.15,-71.24,2,1,28.37967402,1.453007403,1256.693158,0.18865934,-0.670850325,1579277.694,355.9234672
Mohave,35,-114,1,0,0.714285714,-0.146128036,567.8192359,0.189097434,-0.683212892,322418.6847,357.5783952
Northern Somali,4.9,45.62,,,6.6324,0.821670711,510.6334297,0.19206613,0.393456356,260746.4995,368.8939835
Basseri,29.38,53.5,,,0.9469,-0.023695883,453.7943041,0.193070541,0.313111141,205929.2704,372.7623368
TUAREG-AYR,15,7.5,,,0.1107,-0.955852379,477.3541564,0.196086178,0.291075705,227866.9906,384.4978912
Hunzakut,36.5,75,2,1,4.088607595,0.611575431,249.9247122,0.204731773,0.042713658,62462.36179,419.1509899
Havasupai,36.13,-112.36,1,0,0.032299742,-1.490800947,633.139748,0.215020422,-0.754411842,400865.9405,462.33782
Paratia,-15.47,-70.47,,,6.1414,0.788267385,1145.339897,0.224387049,-0.05364035,1311803.48,503.4954765
Creek,33,-83,2,1,0.329989404,-0.481500005,1618.651372,0.242719768,-0.324953117,2620032.264,589.1288557
Delaware,40,-75.45,1,0,0.255813954,-0.59207577,1575.760481,0.246684563,-0.63976504,2483021.092,608.5327383
Ayacucho Quechuan,-13.67,-74.59,,,9.3575,0.971159836,950.9955089,0.24976193,-0.04434948,904392.458,623.8102178
Charwa,37,55,,,3.6364,0.560671649,477.3541564,0.250394322,0.13235135,227866.9906,626.9731667
Betsileo  (subprefecture),-18.78,47.46,3,1,25.63015325,1.408751203,1763.639122,0.255726188,0.515512902,3110422.954,653.9588339
Hasinai,31.02,-94.48,1,0,0.277777778,-0.5563025,1688.373082,0.262067647,-0.346736347,2850603.665,686.794514
HUMR,11,28,,,0.9167,-0.037772769,934.3513596,0.263315058,0.573259,873012.4632,693.3481965
TURKANA,3.25,36,,,2.4627,0.39141151,329.1085618,0.264581079,0.614241748,108312.4455,700.0314718
Powhatan,36.54,-76.18,2,1,0.447437102,-0.349268007,1643.195519,0.271190827,-0.498028699,2700091.514,735.4446472
Dogon,14.21,-3.37,2,1,6.792811321,0.832049552,873.1111276,0.289629395,0.700833804,762323.0412,838.8518627
Nuer,8.5,31.5,2,1,2.573340196,0.410497204,1249.137911,0.311436358,0.606622881,1560345.522,969.9260532
Yukpa,10,-7.76,1,0,2.715,0.433769834,1846.136025,0.336617164,0.849368034,3408218.222,1133.111148
Tswana (Tolkwa),-24,27,2,1,41.66666667,1.619788758,843.2460538,0.337515139,0.0068409,711063.9073,1139.164692
Toda,11.35,77.25,,,0.5683,-0.245422344,1127.691262,0.339106997,0.573533539,1271687.582,1149.935554
Tigrinya (Mai Weini),15.31,38.91,2,1,61.17647059,1.786584418,847.5380314,0.341877252,0.492730907,718320.7147,1168.800557
Xhosa Shixini,-32.2,28.45,2,1,95.86,1.981637425,1335.301063,0.341941955,-0.04421788,1783028.928,1169.243008
Azande,5.41,27.11,2,1,10.67068833,1.028192435,1853.772301,0.353518695,0.713198364,3436471.744,1249.754674
Tarahumara gentiles,26.48,-107.04,1,0,3.55,0.550228353,1464.837423,0.353815636,-0.258393628,2145748.676,1251.855041
Sherpa,27.92,86.75,,,2.4636,0.391570195,560.9646503,0.354410409,0.570160836,314681.3389,1256.06738
Tikopia,-12.27,168.83,2,1,164.2307692,2.215454527,2584.068575,0.363198687,-0.178865644,6677410.4,1319.132863
Wonie,-9.08,143.2,2,1,0.325,-0.488116639,2207.088537,0.365030586,-0.309396686,4871239.809,1332.473284
Pedi,-22.9,31.7,3,1,32.30223069,1.509232514,757.0761864,0.368372221,0.140835049,573164.352,1356.98093
Tiv,7,9,2,1,95.18828452,1.9785835,2029.736613,0.37714903,0.805664056,4119830.718,1422.413909
Kofyar (Bong),9,9.16,2,1,148.3279462,2.171222983,1758.703636,0.377835657,0.74130489,3093038.478,1427.597837
Swazi,-26.5,31.5,3,1,20.99483204,1.322112405,1137.610597,0.382255662,0.078321263,1294157.87,1461.193913
