GROUP,Latitude,Longitude,class,class2,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,DivDiff
Cayua,-23,-54,1,0,0.875,-0.057991947,1853.772301,0.496161854,0.034839819,3436471.744,2461.765856,0.118161854
Siriono,-15,-63.58,1,0,0.579374276,-0.237040791,1878.615269,0.514700728,-0.004761382,3529195.329,2649.168393,0.136700728
Matsigenka,-12,-73,1,0,0.299981735,-0.522905187,2085.413942,0.637738469,-0.062438225,4348951.308,4067.103547,0.259738469
Sandawe,-3.5,35.5,1,0,15.92356688,1.202040356,1380.009494,0.529222146,0.64569336,1904426.204,2800.760801,0.151222146
Ka'apor,-3.1,-46,1,0,0.098020735,-1.008682045,2184.123033,0.599552316,0.044447931,4770393.424,3594.629796,0.221552316
Tana Toraja,-3,120,1,0,98.9314034,1.99533417,2411.345147,0.501374653,0.197923754,5814585.42,2513.765426,0.123374653
Yanoama,2.5,-65,1,0,0.19379845,-0.712649701,2334.581898,0.679473529,0.029984765,5450272.639,4616.842762,0.301473529
Iban,2.55,112.36,1,0,3.383422779,0.529356269,2592.522182,0.536872956,0.102625643,6721171.265,2882.325711,0.158872956
Nukak,2.56,-71.81,1,0,0.04,-1.397940009,2466.228648,0.55644064,0.166080455,6082283.744,3096.261862,0.17844064
Semai,4.5,102,1,0,5.810391978,0.764205432,2428.066019,0.66423059,0.148821844,5895504.591,4412.022763,0.28623059
Guahibo,5.38,-68.31,1,0,0.34,-0.468521083,2438.228284,0.546434455,0.118390611,5944957.166,2985.906137,0.168434455
Panare,6,-65,1,0,0.0854,-1.068542129,2525.486928,0.710842397,0.154960333,6378084.225,5052.969138,0.332842397
Yukpa,10,-7.76,1,0,2.715,0.433769834,1846.136025,0.336617164,0.849368034,3408218.222,1133.111148,0.041382836
Hanunoo,12.46,121.36,1,0,22.74193548,1.356827423,2570.691589,0.428643759,0.038103455,6608455.245,1837.354719,0.050643759
Miskito,12.6,-83.7,1,0,0.963883293,-0.015975547,2548.774224,0.563203106,0.141369541,6496250.045,3171.977384,0.185203106
Tarahumara gentiles,26.48,-107.04,1,0,3.55,0.550228353,1464.837423,0.353815636,-0.258393628,2145748.676,1251.855041,0.024184364
Hasinai,31.02,-94.48,1,0,0.277777778,-0.5563025,1688.373082,0.262067647,-0.346736347,2850603.665,686.794514,0.115932353
Cocopa,32.5,-114.75,1,0,0.48828125,-0.311329952,151.4209566,0.165833568,-0.560021944,22928.30611,275.0077221,0.212166432
Mohave,35,-114,1,0,0.714285714,-0.146128036,567.8192359,0.189097434,-0.683212892,322418.6847,357.5783952,0.188902566
Havasupai,36.13,-112.36,1,0,0.032299742,-1.490800947,633.139748,0.215020422,-0.754411842,400865.9405,462.33782,0.162979578
Delaware,40,-75.45,1,0,0.255813954,-0.59207577,1575.760481,0.246684563,-0.63976504,2483021.092,608.5327383,0.131315437
Hidatsa,47.5,-101.3,1,0,0.094117647,-1.026328939,742.1336178,0.171233029,-0.944195215,550762.3067,293.2075036,0.206766971
Mapuche,-41.15,-71.24,2,1,28.37967402,1.453007403,1256.693158,0.18865934,-0.670850325,1579277.694,355.9234672,0.18934066
Xhosa Shixini,-32.2,28.45,2,1,95.86,1.981637425,1335.301063,0.341941955,-0.04421788,1783028.928,1169.243008,0.036058045
Bhaca,-28.5,31.09,2,1,30.69059417,1.487005296,1288.222527,0.402234647,0.041963042,1659517.279,1617.927109,0.024234647
Swazi,-26.5,31.5,3,1,20.99483204,1.322112405,1137.610597,0.382255662,0.078321263,1294157.87,1461.193913,0.004255662
Tswana (Tolkwa),-24,27,2,1,41.66666667,1.619788758,843.2460538,0.337515139,0.0068409,711063.9073,1139.164692,0.040484861
Pedi,-22.9,31.7,3,1,32.30223069,1.509232514,757.0761864,0.368372221,0.140835049,573164.352,1356.98093,0.009627779
Betsileo  (subprefecture),-18.78,47.46,3,1,25.63015325,1.408751203,1763.639122,0.255726188,0.515512902,3110422.954,653.9588339,0.122273812
Valley Gwembe Tonga (middle river),-17,27,2,1,2.214497232,0.345275142,1251.461513,0.419054437,0.19084652,1566155.919,1756.066215,0.041054437
Goba,-15.85,29.67,3,1,5.56467147,0.745439529,1133.89702,0.408666915,0.254188815,1285722.451,1670.086473,0.030666915
Lozi,-14.47,26.02,3,1,7.003676471,0.845326076,1428.742446,0.419191338,0.277169754,2041304.976,1757.213781,0.041191338
Tikopia,-12.27,168.83,2,1,164.2307692,2.215454527,2584.068575,0.363198687,-0.178865644,6677410.4,1319.132863,0.014801313
Bemba,-11,31,3,1,2.180801527,0.338616143,1686.630085,0.450781156,0.367541073,2844721.042,2032.036506,0.072781156
Wonie,-9.08,143.2,2,1,0.325,-0.488116639,2207.088537,0.365030586,-0.309396686,4871239.809,1332.473284,0.012969414
Uchucmarca,-7.1,-77.8,3,1,10.84761905,1.035334425,1370.870413,0.515809369,0.231031981,1879285.69,2660.593054,0.137809369
Maring(Bomagai-Angoiang),-5,145,2,1,2.153846154,0.333214679,2584.068575,0.531361872,-0.2790889,6677410.4,2823.454387,0.153361872
Tsembaga,-5,145,2,1,26.35658915,1.420889207,2584.068575,0.531361872,-0.2790889,6677410.4,2823.454387,0.153361872
Nuaulu,-3.26,129.1,2,1,2.317757009,0.365067903,2483.315949,0.40671898,-0.098824484,6166858.103,1654.203287,0.02871898
