Continent,Country,DENSITY,LnDENSITY,ECI,Longitude,Latitude,npp,npp2,biodiv,biodiv2,pathos,DivDiff
Africa,Algeria,11.23056772,1.050401711,-0.64926839,2.61732102,28.15893844,59.16872299,3500.93778,0.050171516,25.17181018,0.047108523,0.188828484
Africa,Angola,10.38207955,1.016284352,-1.676506925,17.53736149,-12.29336112,1675.244004,2806442.473,0.341701713,1167.600607,0.322716988,0.102701713
Africa,Cameroon,28.49808281,1.454815644,-1.5329015,12.73964266,5.69110296,1941.559828,3769654.566,0.434707912,1889.709688,0.787543961,0.195707912
Africa,"Congo, Rep.",7.774477892,0.890671233,-1.5452018,15.21965722,-0.83788172,2092.672407,4379277.803,0.398204069,1585.664806,0.676263546,0.159204069
Africa,Cote d'Ivoire,41.83683318,1.621558803,-1.282260475,-5.56921598,7.62842868,1568.223059,2459323.563,0.407028325,1656.720574,0.85662383,0.168028325
Africa,"Egypt, Arab Rep.",59.74386833,1.776293339,-0.232851553,29.8618993,26.49593108,14,196,0.032251016,10.40128033,0.35478678,0.206748984
Africa,Ethiopia,53.79828138,1.730768402,-1.013553475,39.6008014,8.62278417,1112.713112,1238130.47,0.446775359,1996.082214,0.461761993,0.207775359
Africa,Gabon,4.076999554,0.610340664,-1.3964573,11.78863005,-0.58660329,2059.548981,4241742.005,0.46962533,2205.479506,0.720932918,0.23062533
Africa,Ghana,71.052087,1.851576839,-1.2468645,-1.21676901,7.95345124,1661.094768,2759235.828,0.406375254,1651.408471,0.882403066,0.167375254
Africa,Kenya,45.48948563,1.657911026,-0.62640571,37.79594437,0.5998746,923.3494388,852574.1861,0.480938165,2313.015186,0.647650567,0.241938165
Africa,Libya,2.579237414,0.41149132,-1.12812764,18.00865782,27.03094247,13.91164429,193.5338469,0.036852277,13.5809032,-0.037599223,0.202147723
Africa,Morocco,57.16596661,1.757137551,-0.2454539,-8.45616045,29.83762793,596.7156316,356069.545,0.174906102,305.9214452,0.243895688,0.064093898
