Number,Continent,Country,DENSITY,LnDENSITY,ECI,Longitude,Latitude,npp,biodiv,pathos
83,Europe,Portugal,109.5255499,2.039515442,0.760830725,-8.50105506,39.59550247,1290.494259,0.236797354,-0.074423537
9,Europe,Belarus,48.36635533,1.684543362,0.833895737,28.03208711,53.53131155,995.1599367,0.240870855,-0.345644221
44,Europe,Hungary,115.3508584,2.062020831,1.140875175,19.39559381,47.16277712,891.3914211,0.243428436,-0.063583509
110,N.America,USA,28.44946393,1.454074087,1.71751,-112.4616706,45.67955203,748.7700855,0.243823488,-0.931176891
104,M.East,Turkey,72.81340807,1.862211359,0.283118028,35.16895529,39.06160342,701.2895572,0.246344579,0.069852723
67,Europe,Moldova,109.8888483,2.040953622,0.077925558,28.45673742,47.19499323,945.2949931,0.246722352,-0.132903531
56,Asia,"Korea, Rep.",448.5949727,2.651854402,1.199684625,127.8391693,36.3852463,1459.809622,0.248215779,0.236676852
92,Africa,SouthAfrica,30.90916218,1.490087233,0.198468595,25.08388384,-29.0003377,743.6323435,0.249957781,-0.084457521
50,Europe,Italy,193.8147726,2.287386876,1.5846065,12.07000946,42.79663568,1184.014513,0.250701585,0.068557494
93,Europe,Spain,80.15693925,1.903941126,1.158415175,-3.64754874,40.24448626,742.1336178,0.254176944,-0.114971328
90,Europe,Slovak,111.8027003,2.048452293,1.3283375,19.47905212,48.70547175,1054.193859,0.255794215,-0.129685547
24,Europe,Croatia,79.75773099,1.90177279,0.820131316,16.40413079,45.08047284,1457.685379,0.257212969,0.017650141
88,Africa,Senegal,44.43560758,1.647731123,-0.596565279,-14.47348904,14.36624381,1022.921424,0.259633101,0.868779908
99,Asia,Tajikistan,47.35695858,1.675383803,-0.63346015,71.01363312,38.53045125,605.6813298,0.261234717,-0.025638812
12,Europe,Bosnia,74.78592516,1.873819871,0.500041421,17.76876588,44.17449912,1256.693158,0.261843273,0.049327846
7,M.East,Azerbaijan,100.6783524,2.0029361,-0.541647579,47.54599646,40.28827674,662.8124877,0.262230128,0.058906787
14,Europe,Bulgaria,75.94177846,1.880480764,0.742400725,25.21552327,42.76889988,1103.920585,0.262256971,0.034569062
60,M.East,Lebanon,307.6253383,2.488022104,0.37234056,35.88016327,33.92306993,1372.462252,0.273429088,0.270884954
91,Europe,Slovenia,99.64947212,1.998475002,1.471556842,14.8044464,46.11555444,1326.702271,0.275612087,-0.029987213
6,Europe,Austria,95.29437767,1.979067278,1.829245,14.12647809,47.58549847,868.076536,0.277960685,-0.095732913
58,Asia,Kyrgyz,26.37999141,1.42127465,-0.191831467,74.54165548,41.46221785,724.0710729,0.289036475,-0.134718433
109,S.America,Uruguay,17.93846689,1.253785323,0.39269123,-56.01806795,-32.79951982,1591.794373,0.292241798,-0.098797265
