Group,class,class2,augmen2,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp22,biodiv2,DivDiff
Punan,1,0,2,3,114,0.118,-0.928117993,2496.264766,0.539329876,0.07969767,6231337.782,2908.77,0.259329876
Kubu,1,0,1,-3.04,102.69,0.092,-1.036212173,2557.670284,0.526788791,0.15720433,6541677.282,2775.06,0.246788791
Shompen,1,0,2,7,93.77,0.39537,-0.402996287,2349.867903,0.286394554,-0.147388149,5521879.162,820.22,0.006394554
Onge,1,0,2,10.7,92.47,0.401,-0.396855627,2534.466729,0.33651645,-0.035217869,6423521.6,1132.43,0.05651645
Ayta-Pinatubo,1,0,3,15.5,120.33,0.9189,-0.036731748,2438.989741,0.419451662,0.134998356,5948670.957,1759.4,0.139451662
North Island,1,0,2,13.32,92.89,0.3338,-0.476513668,2485.370323,0.317335444,0.046836649,6177065.642,1007.02,0.037335444
Semang,1,0,1,5.86,101,0.1757,-0.755228239,2360.571015,0.620982289,0.140902696,5572295.517,3856.19,0.340982289
Veddah,1,0,1,8.58,81.25,0.185,-0.732828272,1986.943206,0.360537613,0.328694935,3947943.304,1299.87,0.080537613
Hill-Pandaran,1,0,1,9.25,77.25,0.7037,-0.152612449,2148.704278,0.40194199,0.495938577,4616930.074,1615.57,0.12194199
Agta (Casiguran),1,0,1,17.33,122.13,0.87,-0.060480747,2428.053625,0.441623284,0.148363894,5895444.406,1950.31,0.161623284
Agta (Isbela),1,0,1,17.48,122.05,0.42,-0.37675071,2394.270329,0.44448337,0.154116797,5732530.408,1975.65,0.16448337
Agta (North Luzon),1,0,1,17.82,121.8,0.3794,-0.420902673,2122.883724,0.417116117,0.171526415,4506635.306,1739.86,0.137116117
Chenchu,1,0,1,16.25,78.97,1.233,0.090963077,1118.968515,0.27878674,0.59896524,1252090.538,777.22,0.00121326
Mrabri,1,0,2,18.41,100.47,0.2316,-0.635261445,1637.779228,0.50228826,0.382643846,2682320.8,2522.93,0.22228826
Paliyans,1,0,1,9.75,77.5,0.0963,-1.016373713,1462.797373,0.349403926,0.505010223,2139776.154,1220.83,0.069403926
Birhor,1,0,2,23.41,84.38,0.22,-0.657577319,1726.1392,0.328569975,0.649579697,2979556.538,1079.58,0.048569975
Kadar,1,0,1,10.25,77.17,0.5,-0.301029996,2058.924314,0.381393201,0.533578313,4239169.331,1454.61,0.101393201
Cholanaickan,1,0,1,10.18,76.4,0.705,-0.151810883,2624.898221,0.418381445,0.552137107,6890090.671,1750.43,0.138381445
Nayaka,1,0,1,11.9,77.21,0.7,-0.15490196,1173.129692,0.335682805,0.582636471,1376233.274,1126.83,0.055682805
Ainu (Hokkaido),1,0,1,44.01,144.17,0.348,-0.458420756,1070.524148,0.320176303,-0.361337762,1146021.951,1025.13,0.040176303
Yukaghir,1,0,1,70,145,0.0061,-2.214670165,148.1919617,0.073694789,-0.715392752,21960.85751,54.31,0.206305211
Nganasan,1,0,1,73.83,90,0.0046,-2.337242168,151.5808916,0.043012354,-0.709283124,22976.7667,18.5,0.236987646
Shiriana,1,0,1,3.86,-66.17,0.156,-0.806875402,2571.112751,0.755792645,0.082827996,6610620.778,5712.23,0.475792645
Akuriyo,1,0,2,3.01,-55,0.0704,-1.152427341,2374.845032,0.616180233,0.076625464,5639888.926,3796.78,0.336180233
Yaruro-pume,1,0,1,6.85,-68.77,0.1995,-0.7000571,2288.425893,0.450306893,0.130231435,5236893.068,2027.76,0.170306893
Guahibo,1,0,1,5.38,-68.31,0.1763,-0.753747688,2438.228284,0.546434455,0.118390611,5944957.165,2985.91,0.266434455
Nukak,1,0,1,2.56,-71.81,0.0934,-1.029653124,2466.228648,0.55644064,0.166080455,6082283.744,3096.26,0.27644064
Bororo,1,0,2,-16.52,-55,0.5136,-0.289374985,1895.610947,0.474696519,-0.065456187,3593340.862,2253.37,0.194696519
Guato,1,0,1,-18,-57.5,0.0674,-1.171340103,1625.969641,0.469123074,-0.060798045,2643777.273,2200.76,0.189123074
Siriono,1,0,1,-15,-63.58,0.06,-1.22184875,1878.615269,0.514700728,-0.004761382,3529195.329,2649.17,0.234700728
Yuqui,1,0,1,-16.46,-64.97,0.0166,-1.779891912,2534.916886,0.57053983,-0.021532149,6425803.619,3255.16,0.29053983
Nambikwara,1,0,2,-12.73,-59.55,0.0778,-1.109020403,2202.865384,0.507877485,-0.128988948,4852615.9,2579.4,0.227877485
Guayaki (Ache),1,0,1,-25.7,-55.38,0.0348,-1.458420756,1968.617342,0.483622244,0.025648245,3875454.239,2338.9,0.203622244
Botocudo,1,0,2,-18.71,-41.86,0.098,-1.008773924,1582.412776,0.574140239,0.367435715,2504030.194,3296.37,0.294140239
Heta,1,0,3,-23.52,-53.68,0.096,-1.017728767,1826.042771,0.496159122,0.043436338,3334432.202,2461.74,0.216159122
Aweikomo,1,0,2,-28,-50,0.041,-1.387216143,1829.206113,0.539620722,0.166153044,3345995.004,2911.91,0.259620722
Chono,1,0,1,-45,-73.83,0.1364,-0.86518563,1265.391631,0.146947931,-0.709833879,1601215.98,215.94,0.133052069
Alacaluf,1,0,1,-49.55,-74.52,0.1498,-0.824488187,1029.91528,0.117635051,-0.752648878,1060725.484,138.38,0.162364949
Ona,1,0,1,-53.9,-68.62,0.0921,-1.03574037,740.6338967,0.111853705,-0.801134998,548538.5689,125.11,0.168146295
Aka,1,0,3,2,17,0.0906,-1.042871802,2043.807199,0.422990906,0.699335647,4177147.867,1789.21,0.142990906
Bayaka,1,0,3,3.58,17.76,0.1747,-0.757707095,2027.801922,0.44635461,0.710111177,4111980.635,1992.32,0.16635461
