Group,class,Latitude,DENSITY,LnDENSITY,Longitude,npp,biodiv,pathos
Polar Inuit,1,77.49,0.0041,-2.387216143,-69.5,167.7582278,0.031370222,-0.908415203
Ingulik Inuit,1,69.44,0.0018,-2.744727495,-81.51,146.5245493,0.034777847,-0.947526693
Netsilik Inuit,1,71.46,0.0025,-2.602059991,-94.93,107.7059943,0.038545333,-0.931335918
Sivokamiut Inuit,2,63.49,0.15,-0.823908741,-170.31,433.2429043,0.04105451,-0.856185664
West Greenland,1,69.31,0.0473,-1.325138859,-50.21,352.2575705,0.043009096,-0.931899904
Nganasan,1,73.83,0.0046,-2.337242168,90,151.5808916,0.043012354,-0.709283124
Nunavak,2,60.03,0.1922,-0.716246617,-166.3,566.4121203,0.043772719,-0.894260925
Utkuhikhalingmiut,1,66.99,0.0038,-2.420216403,-95.18,133.8123034,0.043994998,-0.959833334
Aivilingmiut Inuit,1,65.16,0.0032,-2.494850022,-88.12,169.6529077,0.045059049,-0.968727473
Caribou Inuit,1,64.33,0.003,-2.522878745,-96.2,165.8834675,0.048520337,-0.971893803
Angmaksaslik,1,65.63,0.0531,-1.274905479,-37.64,529.1262721,0.048670606,-0.890821782
Copper Inuit,1,68.58,0.0043,-2.366531544,-106.61,141.628487,0.049675091,-0.947429508
Tareumiut Inuit,2,71.32,0.0386,-1.413412695,-156.78,177.4344959,0.059749462,-0.82661062
Noatak Inuit,1,68.09,0.022,-1.657577319,-160,236.6972486,0.063027013,-0.858268589
Point Hope Inuit,2,68.29,0.042,-1.37675071,-166.62,278.6567858,0.068740175,-0.830965013
Nunamiut Inuit,1,68.18,0.0096,-2.017728767,-151.71,165.8834675,0.073598472,-0.878218965
Yukaghir,1,70,0.0061,-2.214670165,145,148.1919617,0.073694789,-0.715392752
Labrador Inuit,1,57.97,0.0278,-1.555955204,-62.02,375.0689606,0.076864782,-0.935897218
Hare,1,67.47,0.0033,-2.48148606,-125,231.5600522,0.082640618,-0.930802159
Siberian Eskimo,2,65.96,0.047,-1.327902142,170.08,165.8834675,0.084731669,-0.681886661
Naskapi,1,56.19,0.0042,-2.37675071,-68.92,378.9917215,0.086304902,-0.955531548
Kobuk Inuit,1,66.95,0.0267,-1.573488739,-156.94,294.0655189,0.088296041,-0.881986362
Dogrib,1,63.85,0.0088,-2.055517328,-115.61,310.2291681,0.094660935,-0.962903497
Kuskowagmut,2,61.01,0.173,-0.761953897,-161.55,544.8645412,0.095878869,-0.9163169
Great Whale Inuit,2,55.32,0.0186,-1.730487056,-77.69,395.0350514,0.096263699,-0.97249135
Kotzebue Sound Inuit,2,66.77,0.0663,-1.178486472,-161.53,355.9741067,0.097352134,-0.86882512
Satudene,1,65.75,0.0055,-2.259637311,-122.89,278.6567858,0.098035166,-0.944795684
Koyukon,1,66.52,0.0109,-1.962573502,-153.78,278.6567858,0.102973215,-0.893651933
Norton Sound Inuit,2,63.98,0.0761,-1.118615343,-160.75,446.6447582,0.104097123,-0.904863803
Holikachuk,2,63.33,0.0152,-1.818156412,-157.54,437.6726459,0.105696422,-0.921255654
Tehuelche,2,-46,0.0189,-1.723538196,-68.7,291.6047829,0.106862721,-0.715314818
Kutchin,2,65.94,0.017,-1.769551079,-135.23,337.7263021,0.107624056,-0.926853614
Attawapiskat Cree,1,53.62,0.0143,-1.844663963,-83.88,484.0571194,0.108949582,-0.968721859
Ooldea,1,-30.38,0.0047,-2.327902142,131.81,345.0222117,0.109734427,-0.436115141
Han,2,64.79,0.018,-1.744727495,-141.2,341.3092874,0.111121896,-0.928613814
Ona,1,-53.9,0.0921,-1.03574037,-68.62,740.6338967,0.111853705,-0.801134998
Ildawongga,1,-22.93,0.0045,-2.346787486,127.18,423.1794638,0.112654358,-0.298812644
Mardudjara,1,-22.79,0.0075,-2.124938737,125.06,397.3860935,0.114560559,-0.236962991
Nakako,1,-27.31,0.0087,-2.060480747,128.19,376.5656273,0.11457835,-0.373541767
Eyak,2,60.48,0.0586,-1.232102384,-144,782.6977078,0.114677647,-0.946546752
Nabesna,1,63.44,0.00667,-2.175874166,-143.12,403.2706728,0.114973404,-0.935714785
Ingalik,1,61.82,0.0271,-1.567030709,-157.75,474.4731272,0.116878552,-0.928493535
Alacaluf,1,-49.55,0.1498,-0.824488187,-74.52,1029.91528,0.117635051,-0.752648878
Montagnais,1,52.42,0.0041,-2.387216143,-63.33,455.7680801,0.118402843,-0.904472403
Tutchone,2,61.24,0.0092,-2.036212173,-138.21,334.1762024,0.118551259,-0.948017372
Mistassini Cree,1,51.75,0.0058,-2.236572006,-72.66,446.6447582,0.120757432,-0.946179803
Ngatatjara,1,-25.32,0.004,-2.397940009,127.27,381.786307,0.122113986,-0.332385302
Konaig,3,57.93,0.306,-0.514278574,-153.16,868.076536,0.123940767,-0.930377941
Mountain,1,63.68,0.0078,-2.107905397,-125.37,297.2370165,0.124504995,-0.951573491
Chugash,3,61.21,0.0648,-1.188424994,-147.61,513.7474728,0.12473965,-0.941778233
Pintubi,1,-22.86,0.015,-1.823908741,129.44,505.6696692,0.126801476,-0.359354538
